,0.5406944239405836
0,0.6154944461515883
1,0.9979134877582896
2,0.2868634808813965
3,0.981706268300158
4,
5,0.8187643017574081
6,0.8348135377599141
7,0.1429623907938086
8,0.10038372566633758
9,0.0741749307121646
10,-0.6637617358502094
11,-0.2431316854712889
12,-0.00033946273639529995
13,-0.6903748573558407
14,0.4474222690801675
15,-0.6698964920827387
16,-0.6403705601896914
17,-0.6251814405322673
18,-0.3431983080947433
19,
20,-0.6877247764294948
21,-0.7235676168438334
22,-0.2063323537461354
23,0.6024959275564084
24,0.5939269890066317
25,0.3831276223039726
26,
27,0.2153009653304499
28,
29,-0.4443637258033944
30,-0.4416634811074389
31,0.4733443684821081
32,
33,0.04743778445753447
34,0.047437784457537206
35,0.0049120465572863245
36,-0.42206638012544617
37,-0.3867921091657467
38,0.24261772939168216
39,-0.24344385579663025
40,-0.3013493248200353
41,-0.2421970564216483
42,-0.30483728285953865
43,-0.3048384403291487
44,-0.30413328819662605
45,-0.302736742657612
46,-0.2784094959358928
47,-0.2894636400378735
48,-0.23955046568709604
49,-0.2833708702230331
50,-0.3019755527647866
51,-0.3039256454991149
52,0.977686697202798
53,-0.3647378065106046
54,0.9804379606988712
55,0.9370128509955438
56,0.9368601565736336
57,0.9478779610111691
58,0.02292758980192541
59,-0.9775688352135168
60,-0.9712939912831384
61,0.9768926875519879
62,-0.9743962212341262
63,-0.8711280893232548
64,0.8863377229646983
65,0.8000125562177327
66,0.7494375687350511
67,0.8173320925524709
68,0.8407042650171099
69,0.8434132946410643
70,0.8452582086053463
71,
72,-0.7904481714791076
73,-0.7899750217548241
74,0.8051299064971634
75,-0.731682256969832
76,0.7280014696477313
77,0.8581437454358635
78,-0.9752011674135586
79,0.6863505647036062
80,-0.9392150824730856
81,-0.8528255015827346
82,-0.8262870773741472
83,-0.28522159681694753
84,
85,-0.956757088099882
86,-0.9729170626849198
87,-0.023266705715794016
88,0.9624877069333448
89,0.9612960117893924
90,0.8737017011195073
91,-0.7910980147874391
92,
93,-0.06448433889151461
94,0.978327603771563
95,0.8001412670679008
96,-0.9781523365304721
97,-0.09397591931754302
98,0.12512805818837994
99,0.0996753158235615
100,0.121125419116953
101,0.11072519145998833
102,0.10700864806020954
103,0.1154818513062359
104,0.12021100807656615
105,-0.0948778058209692
106,0.11781208650871647
107,-0.034550380347908166
108,-0.1624460124691197
109,0.41907114089626496
110,0.3064548209247219
111,0.2086704674741678
112,-0.037320900075220834
113,-0.005155843199811506
114,-0.0023958270662371856
115,-0.2483704964984635
116,-0.03211390403726583
117,1.0
118,0.9907362523755509
119,-0.4715784086992758
120,0.605365651231927
121,0.6428645999035005
122,0.6396560048895051
123,0.6358330492279514
124,0.06880900135281337
125,-0.6381993034581351
126,0.6122115785064399
127,-0.6080743825358804
128,-0.6530633964663669
129,
130,-0.04166641347267313
131,-0.6892427275470981
132,-0.2420438566244975
133,0.9777421275579524
134,0.805026554981604
135,
136,
137,0.06067817999547541
